Flow ID	Src IP	Src Port	Dst IP	Dst Port	Protocol	Timestamp	Flow Duration	Total Fwd Packet	Total Bwd packets	Total Length of Fwd Packet	Total Length of Bwd Packet	Fwd Packet Length Max	Fwd Packet Length Min	Fwd Packet Length Mean	Fwd Packet Length Std	Bwd Packet Length Max	Bwd Packet Length Min	Bwd Packet Length Mean	Bwd Packet Length Std	Flow Bytes/s	Flow Packets/s	Flow IAT Mean	Flow IAT Std	Flow IAT Max	Flow IAT Min	Fwd IAT Total	Fwd IAT Mean	Fwd IAT Std	Fwd IAT Max	Fwd IAT Min	Bwd IAT Total	Bwd IAT Mean	Bwd IAT Std	Bwd IAT Max	Bwd IAT Min	Fwd PSH Flags	Bwd PSH Flags	Fwd URG Flags	Bwd URG Flags	Fwd Header Length	Bwd Header Length	Fwd Packets/s	Bwd Packets/s	Packet Length Min	Packet Length Max	Packet Length Mean	Packet Length Std	Packet Length Variance	FIN Flag Count	SYN Flag Count	RST Flag Count	PSH Flag Count	ACK Flag Count	URG Flag Count	CWR Flag Count	ECE Flag Count	Down/Up Ratio	Average Packet Size	Fwd Segment Size Avg	Bwd Segment Size Avg	Fwd Bytes/Bulk Avg	Fwd Packet/Bulk Avg	Fwd Bulk Rate Avg	Bwd Bytes/Bulk Avg	Bwd Packet/Bulk Avg	Bwd Bulk Rate Avg	Subflow Fwd Packets	Subflow Fwd Bytes	Subflow Bwd Packets	Subflow Bwd Bytes	FWD Init Win Bytes	Bwd Init Win Bytes	Fwd Act Data Pkts	Fwd Seg Size Min	Active Mean	Active Std	Active Max	Active Min	Idle Mean	Idle Std	Idle Max	Idle Min	Activity	Stage
0.87.248.248-3.0.0.0-0-0-0	0.87.248.248	0	3.0.0.0	0	0	19/07/2019 12:35	60006116	1	1	0	0	0	0	0	0	0	0	0	0	0	0.033329935901900004	60006116	0	60006116	60006116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016664968	0.016664968	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	60006116	0	60006116	60006116	Normal	Benign
192.168.3.29-91.189.92.19-33566-443-6	192.168.3.29	33566	91.189.92.19	443	6	19/07/2019 12:37	50787024	31	32	1724	181480	1208	0	55.61290323	220.25631696099998	20272	0	5671.25	5454.269568	3607.299376	1.2404743384799999	819145.5484	4534405.520719999	30283506	8	50657871	1688595.7	6473487.67	30283506	67	50787024	1638291.0967700002	6378157.186	30412449	58	0	0	0	0	992	1040	0.6103921348100001	0.630082204	0	20272	2862.5625	4761.881654	22675516.88	0	1	0	0	0	0	0	0	1	2908	55.61290323	5671.25	0	0	0	0	0	0	31	1724	32	181480	-1	273	4	0	522747.5	556942.0496	916565	128930	24870728.5	7654823.350610001	30283506	19457951	Normal	Benign
192.168.3.29-91.189.92.19-33566-443-6	192.168.3.29	33566	91.189.92.19	443	6	19/07/2019 12:38	91	1	1	0	31	0	0	0	0	31	31	31	0	340659.34065900004	21978.02198	91	0	91	91	0	0	0	0	0	0	0	0	0	0	0	1	0	0	32	32	10989.01099	10989.01099	0	31	20.66666667	17.89785834	320.3333333	0	0	0	1	1	0	0	0	1	31	0	31	0	0	0	0	0	0	1	0	1	31	-1	2273	0	0	0	0	0	0	0	0	0	0	Normal	Benign
192.168.3.29-192.168.3.31-34788-9200-6	192.168.3.29	34788	192.168.3.31	9200	6	19/07/2019 12:36	113158637	23	24	40860	5650	5694	0	1776.521739	1862.994507	2039	0	235.41666666700002	424.57486835699996	411.01590857800005	0.415346113	2459970.37	6777586.547	25017236	4	113142996	5142863.455	9164094.941	25017236	42	113158625	4919940.217	9017421.851	25017600	4	0	1	0	0	736	768	0.20325448069899998	0.212091632	0	5694	1011.4375	1526.186736	2329245.953	0	0	0	1	1	0	0	0	1	1032.957447	1776.521739	235.41666666700002	0	0	0	0	0	0	23	40860	24	5650	-1	6751	13	0	1423066.2	3145655.422	7050178	9960	21005552	5482572.059	25017236	14993203	Normal	Benign
8.0.6.4-8.6.0.1-0-0-0	8.6.0.1	0	8.0.6.4	0	0	19/07/2019 12:37	118138510	245	1	0	0	0	0	0	0	0	0	0	0	0	2.0823015289400004	482198	327118.3311	1909782	18780	117531807	481687.7336	327693.0034	1909782	18780	0	0	0	0	0	0	0	0	0	0	0	2.073836889	0.00846464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	Normal	Benign
255.255.255.255-0.0.0.0-67-68-17	0.0.0.0	68	255.255.255.255	67	17	19/07/2019 12:37	119900721	90	1	26094	289	296	289	289.9333333	2.392873314	289	289	289	0	220.0403782	0.758961241	1332230.233	1096305.959	4237544	85534	119213120	1339473.258	1100349.662	4237544	85534	0	0	0	0	0	0	0	0	0	720	8	0.7506210075249999	0.008340233	289	296	289.9130435	2.370385854	5.618729097	0	0	0	0	0	0	0	0	0	293.0989011	289.9333333	289	0	0	0	0	0	0	90	26094	1	289	-1	-1	90	0	0	0	0	0	0	0	0	0	Normal	Benign
192.168.3.10-239.2.11.71-53569-8662-17	192.168.3.10	53569	239.2.11.71	8662	17	19/07/2019 12:37	118739520	38	1	1932	52	56	48	50.84210526	2.26042708	52	52	52	0	16.70884302	0.328450039	3124724.211	6201770.03	20021267	2	106608151	2881301.378	6100501.191430001	20021267	2	0	0	0	0	0	0	0	0	0	304	8	0.320028243	0.008421796	48	56	50.9	2.216488329	4.912820513	0	0	0	0	0	0	0	0	0	52.20512821	50.84210526	52	0	0	0	0	0	0	38	1932	1	52	-1	-1	38	0	1504406	1376071.387	3337211	32	14076697.38	5339379.857	20021267	5510028	Normal	Benign
0.87.248.248-3.0.0.0-0-0-0	0.87.248.248	0	3.0.0.0	0	0	19/07/2019 12:37	60006216	1	1	0	0	0	0	0	0	0	0	0	0	0	0.03332988	60006216	0	60006216	60006216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01666494	0.01666494	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	60006216	0	60006216	60006216	Normal	Benign
192.168.3.29-192.168.3.31-34788-9200-6	192.168.3.29	34788	192.168.3.31	9200	6	19/07/2019 12:38	114307218	41	33	64648	10202	5792	0	1576.780488	1888.142057	4096	0	309.1515152	704.0201134	654.8142918	0.647378191	1565852.301	3768920.086	15021676	5	114307084	2857677.1	4736866.603680001	15021676	42	114307199	3572099.969	5061837.991880001	15028737	5	0	1	0	0	1312	1056	0.35868251119499994	0.28869567974300003	0	5792	1052.613333	1632.570133	2665285.2403599997	0	0	0	1	1	0	0	0	0	1066.837838	1576.780488	309.1515152	0	0	0	0	0	0	41	64648	33	10202	-1	6751	24	0	1796705.111	3980157.283	12064844	5979	10565043.56	4212822.706	15021676	7010388	Normal	Benign
8.0.6.4-8.6.0.1-0-0-0	8.6.0.1	0	8.0.6.4	0	0	19/07/2019 12:39	119255917	251	1	0	0	0	0	0	0	0	0	0	0	0	2.113102698	475123.1753	365065.8251	1869009	13142	118649621	474598.484	365703.3112	1869009	13142	0	0	0	0	0	0	0	0	0	0	0	2.10471737	0.008385328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	Normal	Benign
